I_N;I_Co;I_Co2;Espece;Genre;Famille;I_Ci;I_D;I_R;I_Lo;I_La;F_N;F_M_F;F_M_S;F_T_M_S;F_S;F_S_S;F_M_P;F_A;F_B;F_Ba;F_Cd;F_Cu;F_Fe;F_K;F_Li;F_Mg;F_Mn;F_Ni;F_P;F_Pb;F_Zn;R_M_S;R_L;R_L_S;R_V;R_D_T;R_D;R_M_P;R_Al;R_B;R_Ba;R_Ca;R_Cd;R_Cu;R_Fe;R_K;R_Li;R_Mg;R_Mn;R_Ni;R_P;R_Pb;R_Zn;S_M_P;S_M_C;S_pH;S_C;S_M_E;S_Al;S_As;S_B;S_Ca;S_Cd;S_Co;S_Cr;S_Cu;S_K;S_Mg;S_Mn;S_Ni;S_P;S_Pb;S_Zn;;;
4;Rib_Rub_1;Rib_Rub_1;Rib_Rub;Rib;Grossulariaceae;6,283185307;2;4;4,35838333;50,78473333;2;0,3556;0,0682;0,191788526;33,04;484,457478;0,3207;39,9826106;37,8831706;50,2576536;0,12296406;6,01290367;102,253729;14701,6779;0,08162863;4332,27021;207,94607;1,93224086;1511,76737;0,5647387;66,2971544;0,6264;4188,719;6,686971584;4317,216;0,145093505;0,842;0,3145;654,727847;20,5569107;37,397849;12959,0473;1,80791545;20,3750111;971,282578;5485,2022;0,46670928;1697,3422;201,717999;4,62175255;3110,4401;12,368796;173,613201;328,27;0;4,87;53,9;9,99;204,171353;0,0583815;-0,0985849;885,303864;0,17361763;0,20514132;0,28632499;2,6600392;69,1210766;62,735841;20,2048774;0,85040231;19,5152057;13,4637474;10,4052333;;;
4;Rib_Rub_1;Rib_Rub_1;Rib_Rub;Rib;Grossulariaceae;6,283185307;2;4;4,35838333;50,78473333;3;0,4918;0,0999;0,203131354;38,844;388,8288288;0,3207;39,9826106;37,8831706;50,2576536;0,12296406;6,01290367;102,253729;14701,6779;0,08162863;4332,27021;207,94607;1,93224086;1511,76737;0,5647387;66,2971544;0,6264;4188,719;6,686971584;4317,216;0,145093505;0,842;0,3145;654,727847;20,5569107;37,397849;12959,0473;1,80791545;20,3750111;971,282578;5485,2022;0,46670928;1697,3422;201,717999;4,62175255;3110,4401;12,368796;173,613201;328,27;0;4,87;53,9;9,99;204,171353;0,0583815;-0,0985849;885,303864;0,17361763;0,20514132;0,28632499;2,6600392;69,1210766;62,735841;20,2048774;0,85040231;19,5152057;13,4637474;10,4052333;;;
4;Rib_Rub_1;Rib_Rub_1;Rib_Rub;Rib;Grossulariaceae;6,283185307;2;4;4,35838333;50,78473333;4;0,7407;0,2079;0,280680437;60,291;290;0,3207;39,9826106;37,8831706;50,2576536;0,12296406;6,01290367;102,253729;14701,6779;0,08162863;4332,27021;207,94607;1,93224086;1511,76737;0,5647387;66,2971544;0,6264;4188,719;6,686971584;4317,216;0,145093505;0,842;0,3145;654,727847;20,5569107;37,397849;12959,0473;1,80791545;20,3750111;971,282578;5485,2022;0,46670928;1697,3422;201,717999;4,62175255;3110,4401;12,368796;173,613201;328,27;0;4,87;53,9;9,99;204,171353;0,0583815;-0,0985849;885,303864;0,17361763;0,20514132;0,28632499;2,6600392;69,1210766;62,735841;20,2048774;0,85040231;19,5152057;13,4637474;10,4052333;;;
4;Rib_Rub_1;Rib_Rub_1;Rib_Rub;Rib;Grossulariaceae;6,283185307;2;4;4,35838333;50,78473333;5;0,3699;0,0943;0,254933766;32,347;343,0222694;0,3207;39,9826106;37,8831706;50,2576536;0,12296406;6,01290367;102,253729;14701,6779;0,08162863;4332,27021;207,94607;1,93224086;1511,76737;0,5647387;66,2971544;0,6264;4188,719;6,686971584;4317,216;0,145093505;0,842;0,3145;654,727847;20,5569107;37,397849;12959,0473;1,80791545;20,3750111;971,282578;5485,2022;0,46670928;1697,3422;201,717999;4,62175255;3110,4401;12,368796;173,613201;328,27;0;4,87;53,9;9,99;204,171353;0,0583815;-0,0985849;885,303864;0,17361763;0,20514132;0,28632499;2,6600392;69,1210766;62,735841;20,2048774;0,85040231;19,5152057;13,4637474;10,4052333;;;
5;Rib_Rub_2;Rib_Rub_2;Rib_Rub;Rib;Grossulariaceae;12,56637061;4;3;4,35880000;50,78536667;1;0,9878;0,1888;0,191131808;70,986;375,9851695;0,3469;47,4295972;31,1724321;24,7219724;0,04070394;3,78582873;139,275475;38432,2253;0,14995223;3276,07432;46,319812;0,85785506;1991,70276;0,52263499;25,4898959;0,3138;3468,671;11,05376354;2459,137;0,127605741;0,762;0,3664;998,201427;20,81836;25,7882828;12924,9641;1,04058268;18,6503915;1661,6445;12363,0562;0,50993303;1729,46089;112,214905;4,95359704;6518,03016;9,77631457;106,228031;620,31;13,1091;6,48;165,2;10;6,91966917;0,02212936;0,32616134;2292,03479;0,07772678;0,03133808;0,03128026;1,19409045;132,625086;171,319646;5,349437;0,41807454;3,62228774;4,62697832;8,77233627;;;
5;Rib_Rub_2;Rib_Rub_2;Rib_Rub;Rib;Grossulariaceae;12,56637061;4;3;4,35880000;50,78536667;2;0,485;0,1151;0,237319588;35,125;305,1694179;0,3469;47,4295972;31,1724321;24,7219724;0,04070394;3,78582873;139,275475;38432,2253;0,14995223;3276,07432;46,319812;0,85785506;1991,70276;0,52263499;25,4898959;0,3138;3468,671;11,05376354;2459,137;0,127605741;0,762;0,3664;998,201427;20,81836;25,7882828;12924,9641;1,04058268;18,6503915;1661,6445;12363,0562;0,50993303;1729,46089;112,214905;4,95359704;6518,03016;9,77631457;106,228031;620,31;13,1091;6,48;165,2;10;6,91966917;0,02212936;0,32616134;2292,03479;0,07772678;0,03133808;0,03128026;1,19409045;132,625086;171,319646;5,349437;0,41807454;3,62228774;4,62697832;8,77233627;;;
5;Rib_Rub_2;Rib_Rub_2;Rib_Rub;Rib;Grossulariaceae;12,56637061;4;3;4,35880000;50,78536667;3;0,3888;0,0722;0,185699588;30,364;420,5540166;0,3469;47,4295972;31,1724321;24,7219724;0,04070394;3,78582873;139,275475;38432,2253;0,14995223;3276,07432;46,319812;0,85785506;1991,70276;0,52263499;25,4898959;0,3138;3468,671;11,05376354;2459,137;0,127605741;0,762;0,3664;998,201427;20,81836;25,7882828;12924,9641;1,04058268;18,6503915;1661,6445;12363,0562;0,50993303;1729,46089;112,214905;4,95359704;6518,03016;9,77631457;106,228031;620,31;13,1091;6,48;165,2;10;6,91966917;0,02212936;0,32616134;2292,03479;0,07772678;0,03133808;0,03128026;1,19409045;132,625086;171,319646;5,349437;0,41807454;3,62228774;4,62697832;8,77233627;;;
5;Rib_Rub_2;Rib_Rub_2;Rib_Rub;Rib;Grossulariaceae;12,56637061;4;3;4,35880000;50,78536667;4;1,1387;0,2233;0,196100817;82,521;369,552172;0,3469;47,4295972;31,1724321;24,7219724;0,04070394;3,78582873;139,275475;38432,2253;0,14995223;3276,07432;46,319812;0,85785506;1991,70276;0,52263499;25,4898959;0,3138;3468,671;11,05376354;2459,137;0,127605741;0,762;0,3664;998,201427;20,81836;25,7882828;12924,9641;1,04058268;18,6503915;1661,6445;12363,0562;0,50993303;1729,46089;112,214905;4,95359704;6518,03016;9,77631457;106,228031;620,31;13,1091;6,48;165,2;10;6,91966917;0,02212936;0,32616134;2292,03479;0,07772678;0,03133808;0,03128026;1,19409045;132,625086;171,319646;5,349437;0,41807454;3,62228774;4,62697832;8,77233627;;;
6;Rib_Rub_3;Rib_Rub_3;Rib_Rub;Rib;Grossulariaceae;3;0,954929659;13;4,35865000;50,78441667;1;0,5452;0,1003;0,183969186;51,579;514,2472582;0,3003;37,9035758;34,0125981;32,2662083;0,06950883;6,83658389;124,837619;42770,7839;0,11826678;3437,03283;102,959184;2,23118533;2195,05245;0,52315;52,8592441;0,2764;4359,203;15,77135673;1490,549;0,185435031;0,989;0,3166;518,509268;23,3179825;31,456283;12473,7491;1,18663382;16,3473951;710,845955;10840,0625;0,37457102;1577,43417;142,198012;3,30939273;7500,26898;15,6660747;104,622052;228,13;22,7551;7,22;181,5;10,13;1,33655632;0,02366816;0,48653338;3124,69977;0,40275825;0,0179146;0,01152295;2,34013657;193,51109;81,625725;10,7938587;0,32792719;17,2998111;19,2845583;33,7585139;;;
6;Rib_Rub_3;Rib_Rub_3;Rib_Rub;Rib;Grossulariaceae;3;0,954929659;13;4,35865000;50,78441667;2;0,3528;0,078;0,221088435;36,679;470,2435897;0,3003;37,9035758;34,0125981;32,2662083;0,06950883;6,83658389;124,837619;42770,7839;0,11826678;3437,03283;102,959184;2,23118533;2195,05245;0,52315;52,8592441;0,2764;4359,203;15,77135673;1490,549;0,185435031;0,989;0,3166;518,509268;23,3179825;31,456283;12473,7491;1,18663382;16,3473951;710,845955;10840,0625;0,37457102;1577,43417;142,198012;3,30939273;7500,26898;15,6660747;104,622052;228,13;22,7551;7,22;181,5;10,13;1,33655632;0,02366816;0,48653338;3124,69977;0,40275825;0,0179146;0,01152295;2,34013657;193,51109;81,625725;10,7938587;0,32792719;17,2998111;19,2845583;33,7585139;;;
